system_id,word,pos
1,民視,Nc
1,快,VH
1,新聞,Na
1,基隆,Nc
1,死亡,VH
1,車禍,Na
1,歲,Nf
1,少年,Na
1,無照,VH
1,雙載,VA
1,過彎,VA
1,撞分隔島,VA
1,釀死,VA
1,命危,VH
1,即時,VH
1,中心,Nc
1,潘柏廷,Nb
1,報導,VE
1,基隆市,Nc
1,安樂區,Nc
1,今日,Nd
1,凌晨,Nd
1,發生,VJ
1,嚴重,VH
1,車禍,Na
1,事故,Na
1,名歲,Na
1,賴姓,Nb
1,少年,Na
1,無照,VH
1,騎車,VA
1,，,COMMACATEGORY
1,並,Cbb
1,載,VC
1,著,Di
1,歲,Nf
1,黃姓,Nb
1,友人,Na
1,行經,VCL
1,基金,Na
1,路號,Na
1,附近,Nc
1,時,Ng
1,，,COMMACATEGORY
1,疑似,VG
1,車速,Na
1,過,Dfa
1,快,VH
1,，,COMMACATEGORY
1,過彎,VA
1,時,Ng
1,突然,D
1,失控,VH
1,直接,VH
1,向,P
1,左,Ncd
1,偏移,VH
1,，,COMMACATEGORY
1,直撞,VC
1,上,VCL
1,中央分隔島,Nc
1,警消,Na
1,獲報,VE
1,後,Ng
1,，,COMMACATEGORY
1,發現,VE
1,賴姓,Nb
1,少年,Na
1,已經,D
1,無呼吸心跳,VH
1,，,COMMACATEGORY
1,緊急,VH
1,送醫,VB
1,後,Ng
1,搶救,VC
1,不治,VH
1,，,COMMACATEGORY
1,至於,P
1,另,Nes
1,位,Na
1,黃姓,Nb
1,男子,Na
1,則,D
1,意識不清,VK
1,，,COMMACATEGORY
1,仍,D
1,在,P
1,醫院,Nc
1,搶救,VC
1,當中,Ng
1,警方指出,VE
1,，,COMMACATEGORY
1,今日,Nd
1,上午,Nd
1,時,Ng
1,許,Neqb
1,獲報,VE
1,，,COMMACATEGORY
1,於,P
1,安樂區,Nc
1,基金路,Nc
1,發生,VJ
1,起,Di
1,普重機車,Na
1,自撞,VA
1,交通事故,Na
1,，,COMMACATEGORY
1,為,P
1,名歲,Na
1,賴姓,Nb
1,男子,Na
1,騎乘,VC
1,普重機車,Na
1,附載,VC
1,歲,Nf
1,黃姓,Nb
1,男子,Na
1,自,P
1,撞分隔島,Nc
1,現場,Nc
1,由,P
1,消防隊,Na
1,緊急搶救,VA
1,，,COMMACATEGORY
1,然而,Cbb
1,賴姓,Nb
1,駕駛,VC
1,經,P
1,送醫,VB
1,後,Ng
1,宣告不治,VE
1,，,COMMACATEGORY
1,黃姓,Nb
1,男子,Na
1,仍,D
1,在,P
1,醫院,Nc
1,搶救中,VC
1,警方,Na
1,說明,VE
1,，,COMMACATEGORY
1,駕駛,VC
1,經,P
1,實施,VC
1,抽,VC
1,血,Na
1,酒精,Na
1,濃度,Na
1,檢測,VE
1,，,COMMACATEGORY
1,確認,VE
1,無,VJ
1,酒駕,Na
1,情事,Na
1,，,COMMACATEGORY
1,案發,VH
1,後,Ng
1,由,P
1,交通警察隊,Na
1,依,P
1,規定,Na
1,到場,VA
1,測,VC
1,繪,VC
1,，,COMMACATEGORY
1,以,P
1,釐清,VC
1,詳細,VH
1,肇事責任,VA
1,警方呼籲,VA
1,，,COMMACATEGORY
1,切勿,D
1,無照駕駛,VA
1,，,COMMACATEGORY
1,行車,VA
1,時,Ng
1,務必,D
1,遵守,VJ
1,交通,Na
1,規則,Na
1,，,COMMACATEGORY
1,減速,VA
1,慢,VH
1,行,VA
1,，,COMMACATEGORY
1,以,P
1,維護,VC
1,用路,Na
1,安全,VH
1,/////,FW
1,下,Nes
1,次,Nf
1,不,D
1,敢,VL
1,了,Di
2,每,Nes
2,次,Nf
2,看到,VE
2,這,Nep
2,新聞,Na
2,我,Nh
2,反而,Cbb
2,不會,D
2,關注,VJ
2,在,P
2,無照,VH
2,，,COMMACATEGORY
2,而是,Cbb
2,駕駛,Na
2,習慣,Na
2,這,Nep
2,種,Nf
2,駕駛,Na
2,習慣,Na
2,有,V_2
2,駕照,Na
2,也,D
2,是,SHI
2,很,Dfa
2,糟糕,VH
2,看起來,D
2,像,VG
2,右轉彎,Na
2,太,Dfa
2,快,VH
2,直接,VH
2,外,Ng
2,拋撞上去,VA
2,講,VE
2,真的,D
2,台灣,Nc
2,堆,VC
2,人,Na
2,都,D
2,不會,D
2,正確,VH
2,轉彎,VA
2,，,COMMACATEGORY
2,因為,Cbb
2,考照,VA
2,根本,D
2,沒,D
2,考,VC
2,，,COMMACATEGORY
2,都,D
2,是,SHI
2,靠,P
2,本能,Na
2,經驗,Na
2,去,D
2,學習,VC
2,技術,Na
2,不,D
2,好,VH
2,情況,Na
2,你,Nh
2,就,D
2,乖乖,VH
2,的,DE
2,過去,Nd
2,就,D
2,好,VH
2,，,COMMACATEGORY
2,技術,Na
2,好,VH
2,也,D
2,不要,D
2,超過,VJ
2,這,Nep
2,種,Nf
2,撞爆,VC
2,的,DE
2,感覺,Na
2,就,D
2,超過,VJ
2,，,COMMACATEGORY
2,而且,Cbb
2,撞上前,D
2,也,D
2,沒,D
2,立即,D
2,減速,VA
2,，,COMMACATEGORY
2,正常,VH
2,急煞,VH
2,之後,Ng
2,重壓,VC
2,前,Ng
2,煞定,VC
2,會,Na
